,Earnings,Earnings,Earnings,Earnings,Earnings,Players,Players,Players,Players,Players,Tournaments,Tournaments,Tournaments,Tournaments,Tournaments
,sum,mean,median,min,max,sum,mean,median,min,max,sum,mean,median,min,max
Injustice 2,835742.83,43986.46473684211,12661.88,170.0,250000.0,196,10.31578947368421,10.0,3,22,37,1.9473684210526316,2.0,1,5
Injustice: Gods Among Us,35176.89,1529.43,500.0,0.0,8845.0,291,12.652173913043478,11.0,3,29,117,5.086956521739131,4.0,1,11
Internet Chess Club,10000.0,10000.0,10000.0,10000.0,10000.0,6,6.0,6.0,6,6,1,1.0,1.0,1,1
JoJo's Bizarre Adventure: Heritage for the Future,284.99,142.495,142.495,50.0,234.99,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Jstris,225.0,225.0,225.0,225.0,225.0,8,8.0,8.0,8,8,1,1.0,1.0,1,1
Just Dance 2014,0.0,0.0,0.0,0.0,0.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
KartRider,567366.35,43643.56538461538,27690.0,24690.0,76912.0,181,13.923076923076923,12.0,8,33,20,1.5384615384615385,2.0,1,2
Kill la Kill the Game: IF,920.0,230.0,190.0,70.0,470.0,12,3.0,3.0,3,3,4,1.0,1.0,1,1
Killer Instinct (2013),224466.96,5755.563076923077,599.59,0.0,53970.0,304,7.794871794871795,8.0,2,33,53,1.358974358974359,1.0,1,3
King of Fighters 2002 Unlimited Match,760.0,380.0,380.0,380.0,380.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
King of Fighters 98,7945.57,3972.785,3972.785,500.0,7445.57,7,3.5,3.5,1,6,3,1.5,1.5,1,2
King of Fighters XI,25.0,25.0,25.0,25.0,25.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
King of Fighters XIII,44724.28,1490.8093333333334,260.0,0.0,16700.0,205,6.833333333333333,6.0,3,20,41,1.3666666666666667,1.0,1,3
King of Fighters XIV,72902.09,2700.0774074074075,780.0,10.0,17740.0,162,6.0,3.0,2,18,37,1.3703703703703705,1.0,1,3
Koihime Enbu,1665.0,277.5,252.5,50.0,590.0,18,3.0,3.0,3,3,6,1.0,1.0,1,1
League of Legends,79003448.94,658362.0745,299543.78500000003,522.72,6672570.36,30036,250.3,229.0,16,845,2476,20.633333333333333,20.0,3,49
Legend of Glory,472.66,472.66,472.66,472.66,472.66,0,0.0,0.0,0,0,1,1.0,1.0,1,1
Legends of Runeterra,118481.03,39493.676666666666,13203.89,5277.14,100000.0,30,10.0,8.0,6,16,5,1.6666666666666667,2.0,1,2
Lethal League Blaze,2172.9,362.15000000000003,217.495,11.4,1116.75,25,4.166666666666667,3.5,1,8,8,1.3333333333333333,1.0,1,2
Lichess,824288.9099999999,29438.88964285714,1362.5,1000.0,402875.0,396,14.142857142857142,8.0,5,79,70,2.5,2.0,1,7
Live for Speed,9219.14,1152.3925,1411.885,0.0,2491.62,26,3.25,4.0,1,5,8,1.0,1.0,1,1
MOBA Legends,225.0,225.0,225.0,225.0,225.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Mad Skills Motocross 2,20163.0,20163.0,20163.0,20163.0,20163.0,12,12.0,12.0,12,12,1,1.0,1.0,1,1
Madden NFL 19,125000.0,41666.666666666664,25000.0,15000.0,85000.0,6,2.0,2.0,1,3,3,1.0,1.0,1,1
Madden NFL 2004,1500.0,1500.0,1500.0,1500.0,1500.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Madden NFL 2006,100000.0,100000.0,100000.0,100000.0,100000.0,1,1.0,1.0,1,1,1,1.0,1.0,1,1
Madden NFL 2007,100000.0,100000.0,100000.0,100000.0,100000.0,1,1.0,1.0,1,1,1,1.0,1.0,1,1
Madden NFL 2008,100000.0,100000.0,100000.0,100000.0,100000.0,1,1.0,1.0,1,1,1,1.0,1.0,1,1
Madden NFL 2009,100000.0,100000.0,100000.0,100000.0,100000.0,1,1.0,1.0,1,1,1,1.0,1.0,1,1
Madden NFL 2013,400000.0,400000.0,400000.0,400000.0,400000.0,8,8.0,8.0,8,8,1,1.0,1.0,1,1
Madden NFL 2016,50000.0,50000.0,50000.0,50000.0,50000.0,8,8.0,8.0,8,8,1,1.0,1.0,1,1
Madden NFL 2017,1004000.0,251000.0,202000.0,100000.0,500000.0,82,20.5,17.0,16,32,5,1.25,1.0,1,2
Madden NFL 2018,279676.62,93225.54,15676.62,5000.0,259000.0,41,13.666666666666666,8.0,1,32,3,1.0,1.0,1,1
Magic: The Gathering Arena,5512000.0,424000.0,500000.0,10000.0,1100000.0,493,37.92307692307692,28.0,8,92,36,2.769230769230769,2.0,1,6
Magic: The Gathering Online,1218000.0,121800.0,116000.0,50000.0,200000.0,156,15.6,16.0,8,24,10,1.0,1.0,1,1
Magical Drop III,130.0,130.0,130.0,130.0,130.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Maiden & Spell,200.0,200.0,200.0,200.0,200.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Mario Kart 8 Deluxe,1754.44,584.8133333333334,229.44,220.0,1305.0,31,10.333333333333334,4.0,3,24,4,1.3333333333333333,1.0,1,2
Mario Tennis Aces,61.3,30.65,30.65,10.0,51.3,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Marvel vs. Capcom 2,39060.0,1698.2608695652175,10.0,0.0,15000.0,93,4.043478260869565,3.0,3,8,26,1.1304347826086956,1.0,1,3
Marvel vs. Capcom 3,22343.62,3723.9366666666665,509.645,0.0,10720.0,49,8.166666666666666,3.0,0,32,12,2.0,1.0,1,7
Marvel vs. Capcom: Infinite,42482.12,2832.1413333333335,730.0,160.0,30000.0,81,5.4,3.0,3,11,19,1.2666666666666666,1.0,1,2
MechWarrior Online,143490.0,143490.0,143490.0,143490.0,143490.0,0,0.0,0.0,0,0,1,1.0,1.0,1,1
Melty Blood: Actress Again,0.0,0.0,0.0,0.0,0.0,11,5.5,5.5,3,8,2,1.0,1.0,1,1
Melty Blood: Actress Again Current Code,8587.76,660.5969230769231,520.0,20.0,2432.76,84,6.461538461538462,8.0,3,18,18,1.3846153846153846,1.0,1,6
Metal Gear Online,8000.0,4000.0,4000.0,4000.0,4000.0,47,23.5,23.5,23,24,8,4.0,4.0,4,4
Million Arthur: Arcana Blood,7430.0,2476.6666666666665,420.0,10.0,7000.0,9,3.0,3.0,3,3,3,1.0,1.0,1,1
Minecraft,279539.15,46589.85833333334,35000.0,4839.15,98500.0,105,17.5,9.5,2,48,14,2.3333333333333335,2.0,1,5
Mordhau,16623.0,8311.5,8311.5,123.0,16500.0,40,20.0,20.0,0,40,3,1.5,1.5,1,2
Mortal Kombat 11,392602.33,39260.233,32814.55,750.0,100000.0,278,27.8,24.0,6,67,37,3.7,3.0,1,9
Mortal Kombat 9,136891.66999999998,7605.092777777777,2095.835,0.0,33400.0,128,7.111111111111111,8.0,3,14,25,1.3888888888888888,1.0,1,3
Mortal Kombat X,523532.42,30796.02470588235,7670.0,80.0,200000.0,182,10.705882352941176,8.0,2,23,62,3.6470588235294117,3.0,1,9
Mortal Kombat XL,129203.79000000001,9938.753076923078,1450.0,140.0,57130.0,78,6.0,3.0,2,13,17,1.3076923076923077,1.0,1,3
Mortal Kombat vs. DC Universe,0.0,0.0,0.0,0.0,0.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Multigaming,148384.33,49461.44333333333,55958.7,33315.93,59109.7,24,8.0,8.0,8,8,3,1.0,1.0,1,1
Mystery Game Tournament,10995.0,1374.375,1280.0,195.0,2560.0,67,8.375,8.0,8,11,8,1.0,1.0,1,1
NASCAR Heat 4,200500.0,100250.0,100250.0,60500.0,140000.0,42,21.0,21.0,8,34,5,2.5,2.5,1,4
NASCAR Thunder 2002,7679.25,7679.25,7679.25,7679.25,7679.25,0,0.0,0.0,0,0,1,1.0,1.0,1,1
NASCAR Thunder 2003,5933.5,5933.5,5933.5,5933.5,5933.5,0,0.0,0.0,0,0,1,1.0,1.0,1,1
NBA 2K18,1000000.0,250000.0,150000.0,100000.0,600000.0,180,45.0,48.0,36,48,4,1.0,1.0,1,1
NHL '94,3818.56,763.712,256.0,96.2,2691.2,31,6.2,4.0,3,16,8,1.6,2.0,1,2
NHL 12,702.93,351.465,351.465,132.37,570.56,6,3.0,3.0,2,4,2,1.0,1.0,1,1
NHL 13,70000.0,70000.0,70000.0,70000.0,70000.0,1,1.0,1.0,1,1,1,1.0,1.0,1,1
NHL 14,3023.96,1007.9866666666667,723.17,478.39,1822.4,6,2.0,3.0,0,3,3,1.0,1.0,1,1
NHL 15,3157.16,1052.3866666666665,1000.0,391.9,1765.26,3,1.0,0.0,0,3,3,1.0,1.0,1,1
NHL 18,102700.0,25675.0,6350.0,5000.0,85000.0,28,7.0,5.5,1,16,6,1.5,1.5,1,2
NHL 19,22566.67,3761.111666666666,2750.0,366.67,8500.0,13,2.1666666666666665,2.0,1,4,8,1.3333333333333333,1.0,1,2
Naruto Shippuden: Ultimate Ninja Storm 4,4550.0,1137.5,1000.0,850.0,1700.0,8,2.0,1.5,0,5,5,1.25,1.0,1,2
Naruto: Gekitou Ninja Taisen! 4,200.0,200.0,200.0,200.0,200.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Need for Speed Carbon,36322.58,12107.526666666667,9322.58,7000.0,20000.0,14,4.666666666666667,3.0,3,8,3,1.0,1.0,1,1
Need for Speed: Most Wanted,35694.54,8923.635,3847.27,0.0,28000.0,20,5.0,4.5,3,8,6,1.5,1.5,1,2
Need for Speed: ProStreet,32208.46,10736.153333333334,7708.46,7000.0,17500.0,14,4.666666666666667,3.0,3,8,3,1.0,1.0,1,1
Need for Speed: Shift,10500.0,10500.0,10500.0,10500.0,10500.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Need for Speed: Underground,35000.0,35000.0,35000.0,35000.0,35000.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Need for Speed: Underground 2,35629.48,11876.493333333334,629.48,0.0,35000.0,9,3.0,3.0,3,3,3,1.0,1.0,1,1
Nitroplus Blasterz: Heroines Infinite Duel,1994.0,498.5,362.0,150.0,1120.0,12,3.0,3.0,3,3,4,1.0,1.0,1,1
Old School Runescape,422504.2,23472.455555555556,26750.0,1000.0,64000.0,87,4.833333333333333,2.5,1,32,22,1.2222222222222223,1.0,1,4
Overwatch,22999333.28,433949.68452830194,177033.63,760.0,3811048.85,11825,223.11320754716982,207.0,12,602,742,14.0,11.0,1,39
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,3764853.0700000003,268918.0764285714,157334.53999999998,4000.0,1204250.0,1645,117.5,99.0,12,402,39,2.7857142857142856,3.0,1,8
PLAYERUNKNOWN’S BATTLEGROUNDS,23710378.57,658621.6269444445,488458.0,50000.0,4179324.0,7714,214.27777777777777,227.0,34,462,294,8.166666666666666,7.5,1,17
Painkiller,1015000.0,101500.0,50000.0,10000.0,510000.0,169,16.9,16.0,4,32,13,1.3,1.0,1,3
Paladins,2136366.6,68915.05161290323,17766.42,250.88,300000.0,1514,48.83870967741935,41.0,6,107,67,2.161290322580645,2.0,1,6
Panel Attack,40.0,40.0,40.0,40.0,40.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Persona 4 Arena,6336.63,576.0572727272728,181.63,0.0,4000.0,51,4.636363636363637,3.0,1,8,11,1.0,1.0,1,1
Persona 4 Arena Ultimax,18828.16,1107.5388235294117,290.0,0.0,14370.0,82,4.823529411764706,3.0,3,8,19,1.1176470588235294,1.0,1,2
Playchess.com,32866.58,10955.526666666667,8861.35,990.37,23014.86,144,48.0,44.0,33,67,9,3.0,3.0,1,5
Pocket Rumble,60.0,60.0,60.0,60.0,60.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Point Blank,699167.75,29131.989583333332,15470.0,2295.0,110000.0,547,22.791666666666668,20.0,0,68,30,1.25,1.0,1,4
Pokkén Tournament,77016.66,5134.444,250.0,50.0,21800.0,98,6.533333333333333,4.0,1,19,25,1.6666666666666667,1.0,1,4
Pokkén Tournament DX,20275.4,1126.4111111111113,505.0,95.0,5340.0,86,4.777777777777778,4.0,2,13,26,1.4444444444444444,1.0,1,3
Pokémon VGC,211500.0,19227.272727272728,13000.0,5000.0,51500.0,230,20.90909090909091,16.0,8,41,24,2.1818181818181817,2.0,1,3
Power Instinct: Matrimelee,50.0,50.0,50.0,50.0,50.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Power Rangers: Battle for the Grid,1390.0,347.5,265.0,10.0,850.0,12,3.0,3.0,3,3,4,1.0,1.0,1,1
Power Rangers: Legacy Wars,4178.55,4178.55,4178.55,4178.55,4178.55,2,2.0,2.0,2,2,1,1.0,1.0,1,1
Pro Evolution Soccer 2008,2084.15,2084.15,2084.15,2084.15,2084.15,6,6.0,6.0,6,6,2,2.0,2.0,2,2
Pro Evolution Soccer 2009,1395.9699999999998,697.9849999999999,697.9849999999999,682.91,713.06,6,3.0,3.0,3,3,3,1.5,1.5,1,2
Pro Evolution Soccer 2014,29410.25,29410.25,29410.25,29410.25,29410.25,4,4.0,4.0,4,4,1,1.0,1.0,1,1
Pro Evolution Soccer 2015,26544.76,26544.76,26544.76,26544.76,26544.76,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Pro Evolution Soccer 2016,27243.84,5448.768,253.9,232.2,25995.57,18,3.6,3.0,3,6,6,1.2,1.0,1,2
Pro Evolution Soccer 2017,514697.70999999996,85782.95166666666,20937.65,1024.93,350000.0,53,8.833333333333334,9.0,3,16,16,2.6666666666666665,2.5,1,6
Pro Evolution Soccer 2018,250000.0,125000.0,125000.0,0.0,250000.0,21,10.5,10.5,6,15,3,1.5,1.5,1,2
Pro Evolution Soccer 2019,216000.0,216000.0,216000.0,216000.0,216000.0,25,25.0,25.0,25,25,2,2.0,2.0,2,2
Pro Evolution Soccer 3,25000.0,25000.0,25000.0,25000.0,25000.0,8,8.0,8.0,8,8,1,1.0,1.0,1,1
Pro Evolution Soccer 4,40550.64,20275.32,20275.32,550.64,40000.0,11,5.5,5.5,3,8,2,1.0,1.0,1,1
Pro Evolution Soccer 5,32000.0,32000.0,32000.0,32000.0,32000.0,4,4.0,4.0,4,4,1,1.0,1.0,1,1
Pro Evolution Soccer 6,20216.82,10108.41,10108.41,1216.82,19000.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Project Cars,67908.20999999999,3994.600588235294,675.0,168.5,23400.0,105,6.176470588235294,6.0,1,21,113,6.647058823529412,5.0,1,15
Project Cars 2,66150.0,8268.75,2000.0,2000.0,22400.0,66,8.25,8.5,2,16,22,2.75,3.0,1,4
Project Gotham Racing 2,35000.0,17500.0,17500.0,0.0,35000.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Project Gotham Racing 3,297286.85,42469.549999999996,20000.0,996.07,196000.0,41,5.857142857142857,3.0,3,22,9,1.2857142857142858,1.0,1,2
Project Gotham Racing 4,25208.46,12604.23,12604.23,7708.46,17500.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Project Justice,165.0,165.0,165.0,165.0,165.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Project M,205292.09,2891.4378873239434,1940.0,40.0,13711.8,1426,20.08450704225352,16.0,2,79,334,4.704225352112676,4.0,1,16
Project Plus,20.0,20.0,20.0,20.0,20.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Prophecy,13000.0,6500.0,6500.0,3000.0,10000.0,32,16.0,16.0,9,23,4,2.0,2.0,1,3
Punch Planet,300.0,300.0,300.0,300.0,300.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Puyo Puyo Champions,2482.3,496.46000000000004,175.0,75.0,1786.8,16,3.2,3.0,3,4,5,1.0,1.0,1,1
Puyo Puyo Tetris,3422.84,285.2366666666667,220.0,112.2,621.08,49,4.083333333333333,3.0,2,9,16,1.3333333333333333,1.0,1,2
Quake 4,556678.51,29298.86894736842,18000.0,3200.0,111000.0,241,12.68421052631579,12.0,0,35,51,2.6842105263157894,2.0,1,6
Quake Champions,2409118.25,86039.9375,12549.04,0.0,1010259.18,845,30.178571428571427,23.5,3,82,239,8.535714285714286,4.5,1,26
Quake II,140179.5,15575.5,15000.0,379.5,36600.0,44,4.888888888888889,4.0,1,13,10,1.1111111111111112,1.0,1,2
Quake III Arena,1137832.19,21881.388269230767,9833.05,327.35,125060.21,510,9.807692307692308,7.5,0,75,94,1.8076923076923077,1.0,1,8
Quake Live,682294.04,7416.239565217392,1657.53,43.97,71522.29,828,9.0,8.0,1,29,410,4.456521739130435,5.0,1,12
QuakeWorld,97996.04,7538.156923076923,4168.0,55.09,25000.0,57,4.384615384615385,4.0,0,16,14,1.0769230769230769,1.0,1,2
RaceRoom Racing Experience,102918.7,12864.8375,13775.0,220.0,27768.7,191,23.875,15.0,3,91,18,2.25,2.0,1,5
Radical Heights,120000.0,120000.0,120000.0,120000.0,120000.0,12,12.0,12.0,12,12,2,2.0,2.0,2,2
Rage,5000.0,5000.0,5000.0,5000.0,5000.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Rainbow Six Siege,12214525.74,265533.16826086957,133587.81,100.0,3003461.84,4677,101.67391304347827,84.0,5,397,228,4.956521739130435,4.0,1,17
Rainbow Six: Vegas,176400.77,25200.109999999997,16700.0,8900.77,84000.0,222,31.714285714285715,32.0,0,64,7,1.0,1.0,1,1
Rainbow Six: Vegas 2,79000.0,13166.666666666666,7500.0,7500.0,34000.0,0,0.0,0.0,0,0,7,1.1666666666666667,1.0,1,2
Realm Royale,263000.0,131500.0,131500.0,130000.0,133000.0,57,28.5,28.5,26,31,9,4.5,4.5,4,5
Red Stone,58000.0,29000.0,29000.0,23000.0,35000.0,18,9.0,9.0,6,12,2,1.0,1.0,1,1
Reflex,2158.4,359.73333333333335,255.32999999999998,30.0,1035.0,23,3.8333333333333335,3.0,1,9,7,1.1666666666666667,1.0,1,2
Return to Castle Wolfenstein,67424.3,33712.15,33712.15,14424.3,53000.0,30,15.0,15.0,0,30,2,1.0,1.0,1,1
Ring of Elysium,70000.0,17500.0,5000.0,0.0,60000.0,21,5.25,4.5,3,9,4,1.0,1.0,1,1
Rise of Nations: Rise of Legends,69600.0,69600.0,69600.0,69600.0,69600.0,8,8.0,8.0,8,8,1,1.0,1.0,1,1
Rising Thunder,1000.0,1000.0,1000.0,1000.0,1000.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Rivals of Aether,37787.0,3435.181818181818,270.0,50.0,19552.0,61,5.545454545454546,4.0,1,17,15,1.3636363636363635,1.0,1,2
Rocket Arena,100000.0,100000.0,100000.0,100000.0,100000.0,24,24.0,24.0,24,24,3,3.0,3.0,3,3
Rocket League,9112693.32,146978.92451612905,71729.98000000001,1296.91,1046224.2,4866,78.48387096774194,77.0,18,179,1084,17.483870967741936,13.0,4,66
Roof Rage,50.0,50.0,50.0,50.0,50.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
S.K.I.L.L. - Special Force 2,132532.93,9466.637857142856,922.45,270.47,58126.02,196,14.0,10.0,0,46,21,1.5,1.0,1,3
S.T.A.L.K.E.R.: Shadow of Chernobyl,4901.26,4901.26,4901.26,4901.26,4901.26,0,0.0,0.0,0,0,1,1.0,1.0,1,1
SLAYERS FOR HIRE,500.0,500.0,500.0,500.0,500.0,8,8.0,8.0,8,8,1,1.0,1.0,1,1
SMITE,8640112.75,216002.81875,47500.0,134.44,2612259.0,1622,40.55,35.5,0,115,94,2.35,2.0,1,7
SNK Heroines: Tag Team Frenzy,430.0,430.0,430.0,430.0,430.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Sailor Moon S,3201.19,320.119,315.0,10.0,763.0,34,3.4,3.0,3,4,11,1.1,1.0,1,2
Samurai Shodown (2019),68009.91,8501.23875,2529.98,599.52,47290.0,74,9.25,8.0,3,17,15,1.875,1.5,1,4
Samurai Shodown III,30.0,30.0,30.0,30.0,30.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Samurai Shodown V Special,590.5699999999999,118.11399999999999,108.71,61.4,190.0,16,3.2,3.0,3,4,5,1.0,1.0,1,1
Schwarzerblitz,100.0,100.0,100.0,100.0,100.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Sekiro: Shadows Die Twice,19596.0,19596.0,19596.0,19596.0,19596.0,20,20.0,20.0,20,20,1,1.0,1.0,1,1
Shadowrun,24000.0,8000.0,4000.0,4000.0,16000.0,0,0.0,0.0,0,0,3,1.0,1.0,1,1
Shadowverse,3211177.09,188892.77,12000.0,3800.0,1387727.29,384,22.58823529411765,24.0,8,32,42,2.4705882352941178,3.0,1,4
Shards of War,1029.21,1029.21,1029.21,1029.21,1029.21,20,20.0,20.0,20,20,1,1.0,1.0,1,1
ShootMania Storm,261687.03999999998,18691.931428571428,7603.01,131.91,100521.23,131,9.357142857142858,7.5,0,49,39,2.7857142857142856,2.0,1,7
Shovel Knight Showdown,60.0,60.0,60.0,60.0,60.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Shrek SuperSlam,50.0,50.0,50.0,50.0,50.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Skullgirls,300.0,300.0,300.0,300.0,300.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Skullgirls 2nd Encore,18321.0,1526.75,1115.5,450.0,4820.0,71,5.916666666666667,8.0,3,8,12,1.0,1.0,1,1
Skullgirls Encore,9155.4,915.54,181.15,0.0,4530.0,59,5.9,5.0,3,11,13,1.3,1.0,1,2
Slap City,300.0,300.0,300.0,300.0,300.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Soul Calibur II,4790.0,798.3333333333334,295.0,0.0,2700.0,17,2.8333333333333335,3.0,2,3,6,1.0,1.0,1,1
Soul Calibur II HD Online,945.41,189.082,85.41,0.0,650.0,31,6.2,8.0,3,8,5,1.0,1.0,1,1
Soul Calibur IV,100260.0,50130.0,50130.0,260.0,100000.0,4,2.0,2.0,1,3,2,1.0,1.0,1,1
Soul Calibur V,60008.54,3000.427,130.0,0.0,20200.9,122,6.1,4.0,2,15,25,1.25,1.0,1,3
Soul Calibur VI,109895.20999999999,5783.958421052631,4006.91,810.0,27085.8,196,10.31578947368421,11.0,3,21,49,2.5789473684210527,3.0,1,6
Special Force,130250.0,43416.666666666664,43250.0,42350.0,44650.0,0,0.0,0.0,0,0,3,1.0,1.0,1,1
Speedrunners,50.0,50.0,50.0,50.0,50.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Splatoon,1390.0,463.3333333333333,620.0,50.0,720.0,3,1.0,0.0,0,3,3,1.0,1.0,1,1
Splatoon 2,10055.0,2011.0,2000.0,300.0,3360.0,13,2.6,0.0,0,13,7,1.4,1.0,1,2
Splitgate: Arena Warfare,50000.0,50000.0,50000.0,50000.0,50000.0,64,64.0,64.0,64,64,2,2.0,2.0,2,2
Star Wars Jedi Knight II: Jedi Outcast,7679.25,7679.25,7679.25,7679.25,7679.25,0,0.0,0.0,0,0,1,1.0,1.0,1,1
StarCraft II,33835162.16,264337.204375,222060.58000000002,136.18,979611.52,16273,127.1328125,125.0,1,399,5905,46.1328125,48.0,1,79
StarCraft: Brood War,8206870.54,40033.51482926829,14874.0,70.0,329562.85,3394,16.55609756097561,11.0,1,145,571,2.7853658536585364,2.0,1,14
Stardew Valley,54250.0,27125.0,27125.0,19250.0,35000.0,68,34.0,34.0,28,40,2,1.0,1.0,1,1
Street Fighter Alpha 2,1390.0,198.57142857142858,170.0,0.0,410.0,21,3.0,3.0,3,3,7,1.0,1.0,1,1
Street Fighter Alpha 3,300.0,75.0,0.0,0.0,300.0,17,4.25,3.0,3,8,4,1.0,1.0,1,1
Street Fighter EX2 Plus,350.0,175.0,175.0,160.0,190.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Street Fighter III: 3rd Strike,49378.86,1592.8664516129033,279.92,0.0,10250.0,142,4.580645161290323,3.0,0,11,33,1.064516129032258,1.0,1,2
Street Fighter IV,7938.22,1323.0366666666666,846.36,0.0,3805.5,44,7.333333333333333,6.0,2,16,10,1.6666666666666667,1.5,1,3
Street Fighter V,2202726.43,91780.26791666668,53686.965,307.83,413677.5,620,25.833333333333332,25.0,8,55,120,5.0,4.5,1,13
Street Fighter V: Arcade Edition,2017135.95,80685.438,39365.98,249.33,379950.0,618,24.72,22.0,3,59,100,4.0,4.0,1,10
Street Fighter V: Champion Edition,33628.66,16814.33,16814.33,1000.0,32628.66,10,5.0,5.0,4,6,2,1.0,1.0,1,1
Street Fighter X Tekken,84090.64,2712.6012903225806,450.0,0.0,53700.0,277,8.935483870967742,8.0,3,20,93,3.0,2.0,1,11
Super Mario Party,220.0,220.0,220.0,220.0,220.0,4,4.0,4.0,4,4,1,1.0,1.0,1,1
Super Smash Bros.,68082.81,1134.7135,418.115,0.0,8860.68,578,9.633333333333333,7.5,1,44,121,2.0166666666666666,2.0,1,9
Super Smash Bros. Brawl,246715.83000000002,2803.5889772727273,1090.885,28.35,36130.0,1292,14.681818181818182,12.5,2,47,343,3.897727272727273,3.0,1,15
Super Smash Bros. Melee,3204304.19,17414.696684782608,8435.42,0.0,124612.43,8890,48.31521739130435,29.5,1,212,2609,14.179347826086957,6.0,1,81
Super Smash Bros. Ultimate,1307502.6,59431.93636363637,51642.025,5500.0,135928.11,4605,209.3181818181818,215.0,42,460,1190,54.09090909090909,61.0,9,129
Super Smash Bros. for Wii U,1511976.47,28527.8579245283,26490.02,160.0,79258.13,4223,79.67924528301887,82.0,3,147,1022,19.28301886792453,19.0,1,41
Super Street Fighter II Turbo,23678.05,696.4132352941176,280.0,0.0,10250.0,172,5.0588235294117645,3.0,3,15,42,1.2352941176470589,1.0,1,2
Super Street Fighter II Turbo HD Remix,16360.0,2045.0,80.0,0.0,10000.0,38,4.75,4.5,3,8,8,1.0,1.0,1,1
Super Street Fighter IV,20877.3,3479.5499999999997,1445.9,0.0,14000.0,49,8.166666666666666,7.5,3,16,12,2.0,2.0,1,3
Super Street Fighter IV Arcade Edition,343878.08,9825.088,5096.71,0.0,56843.79,545,15.571428571428571,16.0,2,38,202,5.771428571428571,6.0,1,14
Supreme Commander,4901.26,4901.26,4901.26,4901.26,4901.26,0,0.0,0.0,0,0,1,1.0,1.0,1,1
Supreme Commander: Forged Alliance,1290.01,1290.01,1290.01,1290.01,1290.01,0,0.0,0.0,0,0,1,1.0,1.0,1,1
TEPPEN,456721.47,456721.47,456721.47,456721.47,456721.47,12,12.0,12.0,12,12,1,1.0,1.0,1,1
Tatsunoko vs. Capcom: Ultimate All-Stars,1330.81,190.1157142857143,180.0,0.0,300.81,21,3.0,3.0,3,3,8,1.1428571428571428,1.0,1,2
Team Fortress 2,721749.8099999999,7146.0377227722765,4493.29,95.08,28085.54,3381,33.475247524752476,24.0,0,164,197,1.9504950495049505,1.0,1,5
Teamfight Tactics,819313.65,91034.85,125000.0,1039.65,215000.0,201,22.333333333333332,16.0,3,66,15,1.6666666666666667,1.0,1,3
Teenage Mutant Ninja Turtles: Tournament Fighters,820.0,410.0,410.0,320.0,500.0,7,3.5,3.5,3,4,2,1.0,1.0,1,1
Tekken 4,12500.0,4166.666666666667,0.0,0.0,12500.0,6,2.0,3.0,0,3,3,1.0,1.0,1,1
Tekken 5,10250.0,5125.0,5125.0,0.0,10250.0,11,5.5,5.5,3,8,3,1.5,1.5,1,2
Tekken 5: Dark Resurrection,12180.0,3045.0,860.0,210.0,10250.0,18,4.5,3.5,3,8,4,1.0,1.0,1,1
Tekken 6,119874.64,6659.702222222222,4353.6849999999995,0.0,35000.0,104,5.777777777777778,3.0,2,14,28,1.5555555555555556,1.0,1,4
Tekken 7,1687721.25,32456.177884615383,20777.39,320.0,263000.92,1098,21.115384615384617,15.0,3,65,235,4.519230769230769,4.0,1,16
